
2024/07/01 (23:44:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (23:50:03) | ===> btop++ v.1.3.2
2024/07/01 (23:50:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/12 (17:56:53) | ===> btop++ v.1.3.2
2024/07/12 (17:56:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/16 (21:02:31) | ===> btop++ v.1.3.2
2024/07/16 (21:02:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/16 (21:04:34) | ===> btop++ v.1.3.2
2024/07/16 (21:04:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/25 (02:27:48) | ===> btop++ v.1.3.2
2024/07/25 (02:27:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/24 (17:41:11) | ===> btop++ v.1.3.2
2024/07/24 (17:41:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/25 (15:57:40) | ===> btop++ v.1.3.2
2024/07/25 (15:57:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/26 (08:31:15) | ===> btop++ v.1.3.2
2024/07/26 (08:31:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/26 (10:10:25) | ===> btop++ v.1.3.2
2024/07/26 (10:10:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (00:20:35) | ===> btop++ v.1.3.2
2024/08/07 (00:20:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (12:13:01) | ===> btop++ v.1.3.2
2024/08/14 (12:13:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (15:19:11) | ===> btop++ v.1.3.2
2024/08/14 (15:19:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (14:19:31) | ===> btop++ v.1.3.2
2024/08/15 (14:19:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/16 (08:49:10) | ===> btop++ v.1.3.2
2024/08/16 (08:49:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/16 (12:05:25) | ===> btop++ v.1.3.2
2024/08/16 (12:05:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/16 (12:09:48) | ===> btop++ v.1.3.2
2024/08/16 (12:09:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/16 (12:12:36) | ===> btop++ v.1.3.2
2024/08/16 (12:12:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/16 (20:51:53) | ===> btop++ v.1.3.2
2024/08/16 (20:51:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/18 (13:47:30) | ===> btop++ v.1.3.2
2024/08/18 (13:47:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/19 (14:24:35) | ===> btop++ v.1.3.2
2024/08/19 (14:24:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/19 (17:12:17) | ===> btop++ v.1.3.2
2024/08/19 (17:12:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/19 (17:29:46) | ===> btop++ v.1.3.2
2024/08/19 (17:29:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/23 (14:04:35) | ===> btop++ v.1.3.2
2024/08/23 (14:04:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/23 (14:49:48) | ===> btop++ v.1.3.2
2024/08/23 (14:49:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

